TRIP_ID,prompt
10,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 70 minutes, costing 66 CHF, with a headway of 10 minutes.
 - Train: travel time of 170 minutes, costing 62 CHF, with a headway of 30 minutes."
11,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 84 minutes, costing 82 CHF, with a headway of 30 minutes.
 - Train: travel time of 213 minutes, costing 62 CHF, with a headway of 60 minutes."
12,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 76 minutes, costing 72 CHF, with a headway of 20 minutes.
 - Train: travel time of 170 minutes, costing 52 CHF, with a headway of 30 minutes."
13,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 76 minutes, costing 53 CHF, with a headway of 20 minutes.
 - Train: travel time of 213 minutes, costing 47 CHF, with a headway of 60 minutes."
14,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 70 minutes, costing 66 CHF, with a headway of 10 minutes.
 - Train: travel time of 184 minutes, costing 47 CHF, with a headway of 120 minutes."
15,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 84 minutes, costing 82 CHF, with a headway of 10 minutes.
 - Train: travel time of 170 minutes, costing 62 CHF, with a headway of 120 minutes."
16,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 84 minutes, costing 57 CHF, with a headway of 30 minutes.
 - Train: travel time of 170 minutes, costing 47 CHF, with a headway of 30 minutes."
17,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 70 minutes, costing 62 CHF, with a headway of 10 minutes.
 - Train: travel time of 213 minutes, costing 52 CHF, with a headway of 60 minutes."
18,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Fribourg.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 29 minutes, costing 35 CHF, with a headway of 10 minutes.
 - Train: travel time of 58 minutes, costing 32 CHF, with a headway of 30 minutes.
 - Car: travel time of 105 minutes, costing 40 CHF."
19,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Fribourg.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 25 minutes, costing 38 CHF, with a headway of 20 minutes.
 - Train: travel time of 58 minutes, costing 29 CHF, with a headway of 30 minutes.
 - Car: travel time of 136 minutes, costing 50 CHF."
20,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Fribourg.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 27 minutes, costing 40 CHF, with a headway of 10 minutes.
 - Train: travel time of 58 minutes, costing 32 CHF, with a headway of 120 minutes.
 - Car: travel time of 136 minutes, costing 65 CHF."
21,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Fribourg.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 25 minutes, costing 38 CHF, with a headway of 30 minutes.
 - Train: travel time of 47 minutes, costing 29 CHF, with a headway of 60 minutes.
 - Car: travel time of 84 minutes, costing 65 CHF."
22,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Fribourg.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 25 minutes, costing 36 CHF, with a headway of 30 minutes.
 - Train: travel time of 51 minutes, costing 32 CHF, with a headway of 30 minutes.
 - Car: travel time of 136 minutes, costing 40 CHF."
23,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Fribourg.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 25 minutes, costing 42 CHF, with a headway of 20 minutes.
 - Train: travel time of 51 minutes, costing 38 CHF, with a headway of 60 minutes.
 - Car: travel time of 84 minutes, costing 40 CHF."
24,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Fribourg.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 27 minutes, costing 32 CHF, with a headway of 10 minutes.
 - Train: travel time of 51 minutes, costing 29 CHF, with a headway of 30 minutes.
 - Car: travel time of 84 minutes, costing 50 CHF."
25,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Fribourg.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 27 minutes, costing 40 CHF, with a headway of 30 minutes.
 - Train: travel time of 51 minutes, costing 32 CHF, with a headway of 60 minutes.
 - Car: travel time of 105 minutes, costing 50 CHF."
26,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Fribourg.
Destination: Geneva.
Available Transportation Options:
 - Swissmetro: travel time of 27 minutes, costing 42 CHF, with a headway of 30 minutes.
 - Train: travel time of 58 minutes, costing 38 CHF, with a headway of 30 minutes.
 - Car: travel time of 84 minutes, costing 65 CHF."
27,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Aargau.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 65 minutes, costing 45 CHF, with a headway of 10 minutes.
 - Train: travel time of 138 minutes, costing 40 CHF, with a headway of 30 minutes.
 - Car: travel time of 135 minutes, costing 80 CHF."
28,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Aargau.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 61 minutes, costing 52 CHF, with a headway of 10 minutes.
 - Train: travel time of 138 minutes, costing 40 CHF, with a headway of 120 minutes.
 - Car: travel time of 175 minutes, costing 130 CHF."
29,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Aargau.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 58 minutes, costing 49 CHF, with a headway of 20 minutes.
 - Train: travel time of 138 minutes, costing 36 CHF, with a headway of 30 minutes.
 - Car: travel time of 175 minutes, costing 100 CHF."
30,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Aargau.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 58 minutes, costing 49 CHF, with a headway of 30 minutes.
 - Train: travel time of 105 minutes, costing 36 CHF, with a headway of 60 minutes.
 - Car: travel time of 108 minutes, costing 130 CHF."
31,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Aargau.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 58 minutes, costing 46 CHF, with a headway of 30 minutes.
 - Train: travel time of 116 minutes, costing 40 CHF, with a headway of 30 minutes.
 - Car: travel time of 175 minutes, costing 80 CHF."
32,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Aargau.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 61 minutes, costing 42 CHF, with a headway of 10 minutes.
 - Train: travel time of 116 minutes, costing 36 CHF, with a headway of 30 minutes.
 - Car: travel time of 108 minutes, costing 100 CHF."
33,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Aargau.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 58 minutes, costing 50 CHF, with a headway of 20 minutes.
 - Train: travel time of 116 minutes, costing 48 CHF, with a headway of 60 minutes.
 - Car: travel time of 108 minutes, costing 80 CHF."
34,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Aargau.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 61 minutes, costing 52 CHF, with a headway of 30 minutes.
 - Train: travel time of 138 minutes, costing 48 CHF, with a headway of 30 minutes.
 - Car: travel time of 108 minutes, costing 130 CHF."
35,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Aargau.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 61 minutes, costing 52 CHF, with a headway of 30 minutes.
 - Train: travel time of 116 minutes, costing 40 CHF, with a headway of 60 minutes.
 - Car: travel time of 135 minutes, costing 100 CHF."
36,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Ticino.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 216 minutes, costing 72 CHF, with a headway of 20 minutes.
 - Train: travel time of 269 minutes, costing 70 CHF, with a headway of 120 minutes."
37,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Ticino.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 213 minutes, costing 70 CHF, with a headway of 10 minutes.
 - Train: travel time of 243 minutes, costing 70 CHF, with a headway of 30 minutes."
38,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Ticino.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 220 minutes, costing 74 CHF, with a headway of 30 minutes.
 - Train: travel time of 320 minutes, costing 70 CHF, with a headway of 60 minutes."
39,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Ticino.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 216 minutes, costing 66 CHF, with a headway of 20 minutes.
 - Train: travel time of 243 minutes, costing 58 CHF, with a headway of 30 minutes."
40,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Ticino.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 216 minutes, costing 57 CHF, with a headway of 20 minutes.
 - Train: travel time of 320 minutes, costing 52 CHF, with a headway of 60 minutes."
41,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Ticino.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 213 minutes, costing 62 CHF, with a headway of 10 minutes.
 - Train: travel time of 269 minutes, costing 52 CHF, with a headway of 120 minutes."
42,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Ticino.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 220 minutes, costing 74 CHF, with a headway of 10 minutes.
 - Train: travel time of 243 minutes, costing 70 CHF, with a headway of 120 minutes."
43,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Ticino.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 220 minutes, costing 57 CHF, with a headway of 30 minutes.
 - Train: travel time of 243 minutes, costing 52 CHF, with a headway of 30 minutes."
44,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Ticino.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 213 minutes, costing 64 CHF, with a headway of 10 minutes.
 - Train: travel time of 320 minutes, costing 58 CHF, with a headway of 60 minutes."
45,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zug.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 46 minutes, costing 38 CHF, with a headway of 30 minutes.
 - Train: travel time of 116 minutes, costing 35 CHF, with a headway of 120 minutes.
 - Car: travel time of 70 minutes, costing 35 CHF."
46,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zug.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 49 minutes, costing 29 CHF, with a headway of 30 minutes.
 - Train: travel time of 95 minutes, costing 26 CHF, with a headway of 120 minutes.
 - Car: travel time of 91 minutes, costing 28 CHF."
47,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zug.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 53 minutes, costing 32 CHF, with a headway of 20 minutes.
 - Train: travel time of 116 minutes, costing 26 CHF, with a headway of 120 minutes.
 - Car: travel time of 56 minutes, costing 28 CHF."
48,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zug.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 53 minutes, costing 32 CHF, with a headway of 10 minutes.
 - Train: travel time of 102 minutes, costing 26 CHF, with a headway of 60 minutes.
 - Car: travel time of 91 minutes, costing 45 CHF."
49,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zug.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 53 minutes, costing 32 CHF, with a headway of 30 minutes.
 - Train: travel time of 102 minutes, costing 29 CHF, with a headway of 120 minutes.
 - Car: travel time of 56 minutes, costing 45 CHF."
50,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zug.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 53 minutes, costing 32 CHF, with a headway of 20 minutes.
 - Train: travel time of 95 minutes, costing 29 CHF, with a headway of 60 minutes.
 - Car: travel time of 91 minutes, costing 35 CHF."
51,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zug.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 49 minutes, costing 40 CHF, with a headway of 10 minutes.
 - Train: travel time of 95 minutes, costing 35 CHF, with a headway of 60 minutes.
 - Car: travel time of 70 minutes, costing 28 CHF."
52,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zug.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 46 minutes, costing 35 CHF, with a headway of 20 minutes.
 - Train: travel time of 95 minutes, costing 29 CHF, with a headway of 120 minutes.
 - Car: travel time of 70 minutes, costing 45 CHF."
53,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zug.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 53 minutes, costing 46 CHF, with a headway of 20 minutes.
 - Train: travel time of 102 minutes, costing 35 CHF, with a headway of 30 minutes.
 - Car: travel time of 70 minutes, costing 45 CHF."
54,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 32 minutes, costing 49 CHF, with a headway of 20 minutes.
 - Train: travel time of 87 minutes, costing 42 CHF, with a headway of 120 minutes.
 - Car: travel time of 117 minutes, costing 140 CHF."
55,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 29 minutes, costing 46 CHF, with a headway of 10 minutes.
 - Train: travel time of 80 minutes, costing 42 CHF, with a headway of 30 minutes.
 - Car: travel time of 117 minutes, costing 182 CHF."
56,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 36 minutes, costing 56 CHF, with a headway of 30 minutes.
 - Train: travel time of 101 minutes, costing 42 CHF, with a headway of 60 minutes.
 - Car: travel time of 117 minutes, costing 112 CHF."
57,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 32 minutes, costing 49 CHF, with a headway of 20 minutes.
 - Train: travel time of 80 minutes, costing 35 CHF, with a headway of 30 minutes.
 - Car: travel time of 72 minutes, costing 112 CHF."
58,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 32 minutes, costing 38 CHF, with a headway of 20 minutes.
 - Train: travel time of 101 minutes, costing 31 CHF, with a headway of 60 minutes.
 - Car: travel time of 90 minutes, costing 182 CHF."
59,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 29 minutes, costing 46 CHF, with a headway of 10 minutes.
 - Train: travel time of 87 minutes, costing 31 CHF, with a headway of 120 minutes.
 - Car: travel time of 90 minutes, costing 112 CHF."
60,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 36 minutes, costing 56 CHF, with a headway of 10 minutes.
 - Train: travel time of 80 minutes, costing 42 CHF, with a headway of 120 minutes.
 - Car: travel time of 72 minutes, costing 140 CHF."
61,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 36 minutes, costing 40 CHF, with a headway of 30 minutes.
 - Train: travel time of 80 minutes, costing 31 CHF, with a headway of 30 minutes.
 - Car: travel time of 90 minutes, costing 140 CHF."
62,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: Bern.
Available Transportation Options:
 - Swissmetro: travel time of 29 minutes, costing 43 CHF, with a headway of 10 minutes.
 - Train: travel time of 101 minutes, costing 35 CHF, with a headway of 60 minutes.
 - Car: travel time of 72 minutes, costing 140 CHF."
63,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 56 minutes, costing 34 CHF, with a headway of 20 minutes.
 - Train: travel time of 109 minutes, costing 26 CHF, with a headway of 120 minutes.
 - Car: travel time of 130 minutes, costing 30 CHF."
64,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 53 minutes, costing 32 CHF, with a headway of 10 minutes.
 - Train: travel time of 100 minutes, costing 26 CHF, with a headway of 30 minutes.
 - Car: travel time of 130 minutes, costing 39 CHF."
65,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 60 minutes, costing 40 CHF, with a headway of 30 minutes.
 - Train: travel time of 126 minutes, costing 26 CHF, with a headway of 60 minutes.
 - Car: travel time of 130 minutes, costing 24 CHF."
66,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 56 minutes, costing 35 CHF, with a headway of 20 minutes.
 - Train: travel time of 100 minutes, costing 22 CHF, with a headway of 30 minutes.
 - Car: travel time of 80 minutes, costing 24 CHF."
67,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 56 minutes, costing 24 CHF, with a headway of 20 minutes.
 - Train: travel time of 126 minutes, costing 20 CHF, with a headway of 60 minutes.
 - Car: travel time of 100 minutes, costing 39 CHF."
68,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 53 minutes, costing 32 CHF, with a headway of 10 minutes.
 - Train: travel time of 109 minutes, costing 20 CHF, with a headway of 120 minutes.
 - Car: travel time of 100 minutes, costing 24 CHF."
69,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 60 minutes, costing 40 CHF, with a headway of 10 minutes.
 - Train: travel time of 100 minutes, costing 26 CHF, with a headway of 120 minutes.
 - Car: travel time of 80 minutes, costing 30 CHF."
70,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 60 minutes, costing 26 CHF, with a headway of 30 minutes.
 - Train: travel time of 100 minutes, costing 20 CHF, with a headway of 30 minutes.
 - Car: travel time of 100 minutes, costing 30 CHF."
71,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Zurich.
Destination: St. Gallen.
Available Transportation Options:
 - Swissmetro: travel time of 53 minutes, costing 28 CHF, with a headway of 10 minutes.
 - Train: travel time of 126 minutes, costing 22 CHF, with a headway of 60 minutes.
 - Car: travel time of 80 minutes, costing 30 CHF."
72,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: St. Gallen.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 53 minutes, costing 28 CHF, with a headway of 10 minutes.
 - Train: travel time of 116 minutes, costing 24 CHF, with a headway of 30 minutes.
 - Car: travel time of 60 minutes, costing 32 CHF."
73,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: St. Gallen.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 46 minutes, costing 32 CHF, with a headway of 20 minutes.
 - Train: travel time of 116 minutes, costing 22 CHF, with a headway of 30 minutes.
 - Car: travel time of 78 minutes, costing 40 CHF."
74,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: St. Gallen.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 49 minutes, costing 36 CHF, with a headway of 10 minutes.
 - Train: travel time of 116 minutes, costing 24 CHF, with a headway of 120 minutes.
 - Car: travel time of 78 minutes, costing 52 CHF."
75,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: St. Gallen.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 46 minutes, costing 32 CHF, with a headway of 30 minutes.
 - Train: travel time of 95 minutes, costing 22 CHF, with a headway of 60 minutes.
 - Car: travel time of 48 minutes, costing 52 CHF."
76,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: St. Gallen.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 46 minutes, costing 29 CHF, with a headway of 30 minutes.
 - Train: travel time of 102 minutes, costing 24 CHF, with a headway of 30 minutes.
 - Car: travel time of 78 minutes, costing 32 CHF."
77,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: St. Gallen.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 46 minutes, costing 32 CHF, with a headway of 20 minutes.
 - Train: travel time of 102 minutes, costing 29 CHF, with a headway of 60 minutes.
 - Car: travel time of 48 minutes, costing 32 CHF."
78,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: St. Gallen.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 49 minutes, costing 25 CHF, with a headway of 10 minutes.
 - Train: travel time of 102 minutes, costing 22 CHF, with a headway of 30 minutes.
 - Car: travel time of 48 minutes, costing 40 CHF."
79,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: St. Gallen.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 49 minutes, costing 36 CHF, with a headway of 30 minutes.
 - Train: travel time of 102 minutes, costing 24 CHF, with a headway of 60 minutes.
 - Car: travel time of 60 minutes, costing 40 CHF."
